Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemycircularvirus,Gemycircularvirus hypas1,hypericum associated gemycircularvirus 1,VNHJ1W,KF413620,Complete genome,HGCV1
Gemycircularvirus,Gemycircularvirus ixode1,tick-associated genomovirus 3,tick25_VL-10,MF173067,Complete genome,
Gemycircularvirus,Gemycircularvirus lamas1,lama associated gemycircularvirus 1,29_Fec80018_llama,KT862245,Complete genome,LGCV1
Gemycircularvirus,Gemycircularvirus lebec1,plant associated genomovirus 20,QS9_F22,MH939431,Complete genome,
Gemycircularvirus,Gemycircularvirus legle1,plant associated genomovirus 15,1773_PE_35,MH939377,Complete genome,
Gemycircularvirus,Gemycircularvirus lepa2,Lynx canadensis faeces associated genomovirus CL1 46,,MG641191,Complete genome,
Gemycircularvirus,Gemycircularvirus lepam1,Alces alces faeces associated genomovirus MP111,,MG641205,Complete genome,
Gemycircularvirus,Gemycircularvirus lepam2,Alces alces faeces associated genomovirus MP43,,MG641202,Complete genome,
Gemycircularvirus,Gemycircularvirus lepam3,Lepus americanus faeces associated genomovirus SHP9,,MG641211,Complete genome,
Gemycircularvirus,Gemycircularvirus lynca1,Lynx canadensis faeces associated genomovirus CL1 48,,MG641192,Complete genome,
Gemycircularvirus,Gemycircularvirus lynca2,Lynx canadensis faeces associated genomovirus CL1 71,,MG641194,Complete genome,
Gemycircularvirus,Gemycircularvirus lynca3,Lynx canadensis faeces associated genomovirus CL5 48,,MG641201,Complete genome,
Gemycircularvirus,Gemycircularvirus lynca4,Lynx canadensis faeces associated genomovirus CL1 148,,MG641197,Complete genome,
Gemycircularvirus,Gemycircularvirus malas1,mallard associated gemycircularvirus 1,as24,KF371635,Complete genome,MGCV1
Gemycircularvirus,Gemycircularvirus minio1,miniopterus associated gemycircularvirus 1,CV-23/GD2012,KJ641719,Complete genome,MiAGCV1
Gemycircularvirus,Gemycircularvirus miniti1,Genomoviridae sp. cthi275,,MK032736,Complete genome,
