Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Betapartitivirus,Betapartitivirus fusarii,Fusarium poae virus 1,A11,RNA1: AF047013;,Complete genome,FpV1
,,,,RNA2: AF015924,,
Betapartitivirus,Betapartitivirus fusarii,Fusarium poae virus 1,240374,RNA1: LC150606;,Complete genome,FpV1
,,,,RNA2: LC150607,,
Betapartitivirus,Betapartitivirus humuli,hop trefoil cryptic virus 2,IPP_GelbSK,RNA1: JX971980;,Complete genome,HTCV2
,,,,RNA2: JX971981,,
Betapartitivirus,Betapartitivirus octiheterobasidion,Heterobasidion partitivirus 8,ir1,RNA1: JX625227;,Complete genome,HetPV8
,,,,RNA2: JX625228,,
Betapartitivirus,Betapartitivirus piheterobasidion,Heterobasidion partitivirus P,Ihrmark,RNA1: AF473549,Partial genome (non-compliant),HetPVP
Betapartitivirus,Betapartitivirus pleuroti,Pleurotus ostreatus virus 1,South Korea,RNA1: AY533038;,Complete genome,PoV1
,,,,RNA2: AY533036,,
Betapartitivirus,Betapartitivirus pratense,red clover cryptic virus 2,IPP_Nemaro,RNA1: JX971978;,Complete genome,RCCV2
,,,,RNA2: JX971979,,
Betapartitivirus,Betapartitivirus primulae,Primula malacoides virus 1,China,RNA1: EU195326;,Complete genome,PmV1
,,,,RNA2: EU195327,,
Betapartitivirus,Betapartitivirus purpurae,crimson clover cryptic virus 2,IPP_IncarnatSK,RNA1: JX971982;,Complete genome,CCCV2
,,,,RNA2: JX971983,,
Betapartitivirus,Betapartitivirus rhiso,Rhizoctonia solani virus 717,,RNA1: AF133290;,Complete genome,RsV
,,,,RNA2: AF133291,,
Betapartitivirus,Betapartitivirus roselliniae,Rosellinia necatrix virus 1,Okayama,RNA1: AB113347;,Complete genome,RnV1
,,,,RNA2: AB113348,,
Betapartitivirus,Betapartitivirus septemheterobasidion,Heterobasidion partitivirus 7,pa1-a,RNA1: JN606091;,Complete genome,HetPV7
,,,,RNA2: JN606090,,
Betapartitivirus,Betapartitivirus septemheterobasidion,Heterobasidion partitivirus 7,pa1-b,RNA1: KF551886,Partial genome (non-compliant),HetPV7
Betapartitivirus,Betapartitivirus septemheterobasidion,Heterobasidion partitivirus 7,pa1-c,RNA1: KF551887,Partial genome (non-compliant),HetPV7
Betapartitivirus,Betapartitivirus trifolii,white clover cryptic virus 2,IPP_Lirepa,RNA1: JX971976;,Complete genome,WCCV2
,,,,RNA2: JX971977,,
Cryspovirus,Cryspovirus cryptosporidii,Cryptosporidium parvum virus 1,Iowa,RNA1: KY884720;,Complete genome,CSpV1
,,,,RNA2: KY884721,,
Cryspovirus,Cryspovirus cryptosporidii,Cryptosporidium parvum virus 1,KSU-1,RNA1: U95995;,Partial genome (non-compliant),CSpV1
,,,,RNA2: U95996,,
Deltapartitivirus,Deltapartitivirus duobetae,beet cryptic virus 2,Hungary,RNA1: HM560702;,Complete genome,BCV2
,,,,RNA2: HM560703;,,
,,,,RNA3: HM560704,,
Deltapartitivirus,Deltapartitivirus duocapsici,pepper cryptic virus 2,HW-01,RNA1: JN117278;,Complete genome,PCV2
,,,,RNA2: JN117279,,
Deltapartitivirus,Deltapartitivirus duocapsici,pepper cryptic virus 2,YY,RNA1: LC195294;,Complete genome,PCV2
,,,,RNA2: LC195295,,
Deltapartitivirus,Deltapartitivirus fici,fig cryptic virus,BN13,RNA1: FR687854;,Complete genome,FCV
,,,,RNA2: FR687855,,
Deltapartitivirus,Deltapartitivirus trebetae,beet cryptic virus 3,Xie,RNA2: S63913,Partial genome (non-compliant),BCV3
Deltapartitivirus,Deltapartitivirus unocapsici,pepper cryptic virus 1,Jal-01,RNA1: JN117276;,Complete genome,PCV1
,,,,RNA2: JN117277,,
Gammapartitivirus,Gammapartitivirus aspergilli,Aspergillus ochraceous virus,FA0611,RNA1: EU118277;,Complete genome,AoV
,,,,RNA2: EU118278;,,
,,,,RNA3: EU118279,,
Gammapartitivirus,Gammapartitivirus duodisculae,Discula destructiva virus 2,331,RNA1: AY033436;,Complete genome,DdV2
,,,,RNA2: AY033437,,
Gammapartitivirus,Gammapartitivirus effepenicillii,Penicillium stoloniferum virus F,USA,RNA1: AY738336;,Complete genome,PsV-F
,,,,RNA2: AY738337,,
Gammapartitivirus,Gammapartitivirus essepenicillii,Penicillium stoloniferum virus S,Kim,RNA1: AY156521;,Complete genome,PsV-S
,,,,RNA2: AY156522,,
Gammapartitivirus,Gammapartitivirus essepenicillii,Penicillium stoloniferum virus S,ATCC 14586,RNA1: AM040148;,Complete genome,PsV-S
,,,,RNA2: AM040149,,
Gammapartitivirus,Gammapartitivirus fusarii,Fusarium solani virus 1,Shimosaka,RNA1: D55668;,Complete genome,FsV1
,,,,RNA2: D55669,,
Gammapartitivirus,Gammapartitivirus gremmeniellae,Gremmeniella abietina RNA virus MS1,C5,RNA1: AY089993;,Complete genome,GaRNAVMS1
,,,,RNA2: AY089994;,,
,,,,RNA3: AY089995,,
Gammapartitivirus,Gammapartitivirus gremmeniellae,Gremmeniella abietina RNA virus MS1,SurS4,RNA1: AY615211;,Complete genome,GaRNAVMS1
,,,,RNA2: AY615212;,,
,,,,RNA3: AY615213,,
Gammapartitivirus,Gammapartitivirus ophiostomae,Ophiostoma partitivirus 1,India,RNA1: AM087202;,Complete genome,OPV1
,,,,RNA2: AM087203,,
Gammapartitivirus,Gammapartitivirus unodisculae,Discula destructiva virus 1,247,RNA1: AF316992;,Complete genome,DdV1
,,,,RNA2: AF316993,,
